,image_path,label
0,E:\satellite image classification\data\cloudy\train_10021.jpg,Cloudy
1,E:\satellite image classification\data\cloudy\train_10043.jpg,Cloudy
2,E:\satellite image classification\data\cloudy\train_10070.jpg,Cloudy
3,E:\satellite image classification\data\cloudy\train_10081.jpg,Cloudy
4,E:\satellite image classification\data\cloudy\train_10096.jpg,Cloudy
5,E:\satellite image classification\data\cloudy\train_101.jpg,Cloudy
6,E:\satellite image classification\data\cloudy\train_10128.jpg,Cloudy
7,E:\satellite image classification\data\cloudy\train_10166.jpg,Cloudy
8,E:\satellite image classification\data\cloudy\train_10173.jpg,Cloudy
9,E:\satellite image classification\data\cloudy\train_10177.jpg,Cloudy
10,E:\satellite image classification\data\cloudy\train_10201.jpg,Cloudy
11,E:\satellite image classification\data\cloudy\train_10224.jpg,Cloudy
12,E:\satellite image classification\data\cloudy\train_10225.jpg,Cloudy
13,E:\satellite image classification\data\cloudy\train_10231.jpg,Cloudy
14,E:\satellite image classification\data\cloudy\train_10263.jpg,Cloudy
15,E:\satellite image classification\data\cloudy\train_10265.jpg,Cloudy
16,E:\satellite image classification\data\cloudy\train_10269.jpg,Cloudy
17,E:\satellite image classification\data\cloudy\train_10293.jpg,Cloudy
18,E:\satellite image classification\data\cloudy\train_10326.jpg,Cloudy
19,E:\satellite image classification\data\cloudy\train_10333.jpg,Cloudy
20,E:\satellite image classification\data\cloudy\train_10389.jpg,Cloudy
21,E:\satellite image classification\data\cloudy\train_10406.jpg,Cloudy
22,E:\satellite image classification\data\cloudy\train_10421.jpg,Cloudy
23,E:\satellite image classification\data\cloudy\train_10451.jpg,Cloudy
24,E:\satellite image classification\data\cloudy\train_10485.jpg,Cloudy
25,E:\satellite image classification\data\cloudy\train_10493.jpg,Cloudy
26,E:\satellite image classification\data\cloudy\train_10538.jpg,Cloudy
27,E:\satellite image classification\data\cloudy\train_10540.jpg,Cloudy
28,E:\satellite image classification\data\cloudy\train_10547.jpg,Cloudy
29,E:\satellite image classification\data\cloudy\train_10552.jpg,Cloudy
30,E:\satellite image classification\data\cloudy\train_10555.jpg,Cloudy
31,E:\satellite image classification\data\cloudy\train_10563.jpg,Cloudy
32,E:\satellite image classification\data\cloudy\train_10566.jpg,Cloudy
33,E:\satellite image classification\data\cloudy\train_10581.jpg,Cloudy
34,E:\satellite image classification\data\cloudy\train_10598.jpg,Cloudy
35,E:\satellite image classification\data\cloudy\train_1060.jpg,Cloudy
36,E:\satellite image classification\data\cloudy\train_10609.jpg,Cloudy
37,E:\satellite image classification\data\cloudy\train_10621.jpg,Cloudy
38,E:\satellite image classification\data\cloudy\train_10642.jpg,Cloudy
39,E:\satellite image classification\data\cloudy\train_10661.jpg,Cloudy
40,E:\satellite image classification\data\cloudy\train_10666.jpg,Cloudy
41,E:\satellite image classification\data\cloudy\train_10667.jpg,Cloudy
42,E:\satellite image classification\data\cloudy\train_10687.jpg,Cloudy
43,E:\satellite image classification\data\cloudy\train_1070.jpg,Cloudy
44,E:\satellite image classification\data\cloudy\train_10710.jpg,Cloudy
